instance_id,seed,L,R,state_count,tier_cube_size,budget_feasible_tier_count,algorithm,target_gap_percent,achieved_gap_percent,converged,incumbent_objective,global_lower_bound,unique_oracle_calls,nodes_processed,nodes_pruned,runtime_seconds,peak_memory_mb,termination_reason,enumeration_complete,best_y_json
synthetic_L5_seed17,17,5,2,64,3125,747,adaptive_monotone_bb,0.1,0.0,True,85.44015398928852,85.44015398928852,1,1,1,1.5513003999367356,,epsilon_gap_closed,,
synthetic_L5_seed17,17,5,2,64,3125,747,tier_enumeration,0.0,0.0,True,85.44015398928852,85.44015398928852,3125,3125,0,4525.857590000145,,complete_cube,True,"[1.0,1.0,1.0,1.0,1.0]"
synthetic_L5_seed29,29,5,2,64,3125,733,adaptive_monotone_bb,0.1,-3.66016171374067e-14,True,77.65151283809573,77.65151283809575,1,1,1,1.6564371001441032,,epsilon_gap_closed,,
synthetic_L5_seed29,29,5,2,64,3125,733,tier_enumeration,0.0,-3.66016171374067e-14,True,77.65151283809573,77.65151283809575,3125,3125,0,4653.554921699921,,complete_cube,True,"[1.0,1.0,1.0,1.0,1.0]"
synthetic_L5_seed43,43,5,2,64,3125,742,adaptive_monotone_bb,0.1,-1.7466355703596038e-14,True,81.36130373364732,81.36130373364733,1,1,1,1.4272421000059694,,epsilon_gap_closed,,
synthetic_L5_seed43,43,5,2,64,3125,742,tier_enumeration,0.0,-1.7466355703596038e-14,True,81.36130373364732,81.36130373364733,3125,3125,0,4538.5292968000285,,complete_cube,True,"[1.0,1.0,1.0,1.0,1.0]"
synthetic_L6_seed17,17,6,2,128,15625,3355,adaptive_monotone_bb,0.1,6.0454996707246e-14,True,94.02600604888445,94.0260060488844,1,1,1,3.122430299874395,,epsilon_gap_closed,,
synthetic_L6_seed17,17,6,2,128,15625,3355,tier_enumeration,0.0,5.418221229293255e-14,False,104.91158713396166,104.9115871339616,2519,2519,0,7145.372814100003,,time_limit,False,"[0.0,0.75,1.0,1.0,1.0,1.0]"
synthetic_L6_seed29,29,6,2,128,15625,3331,adaptive_monotone_bb,0.1,0.0,True,83.43426486933522,83.43426486933522,1,1,1,2.811028999974951,,epsilon_gap_closed,,
synthetic_L6_seed29,29,6,2,128,15625,3331,tier_enumeration,0.0,4.8102721373896095e-14,False,88.62817513842663,88.62817513842658,2388,2388,0,7157.856876699952,,time_limit,False,"[0.0,0.75,0.75,1.0,1.0,1.0]"
synthetic_L6_seed43,43,6,2,128,15625,3370,adaptive_monotone_bb,0.1,0.0,True,74.50881429591497,74.50881429591497,1,1,1,9.135300900088623,,epsilon_gap_closed,,
synthetic_L6_seed43,43,6,2,128,15625,3370,tier_enumeration,0.0,4.7612762366921636e-14,False,89.54020314356818,89.54020314356814,1423,1423,0,5319.719043799909,,time_limit,False,"[0.0,0.25,1.0,1.0,1.0,1.0]"
synthetic_L7_seed17,17,7,2,256,78125,15248,adaptive_monotone_bb,0.1,1.3981075878962313e-14,True,101.64349895693968,101.64349895693967,1,1,1,5.775425599887967,,epsilon_gap_closed,,
synthetic_L7_seed17,17,7,2,256,78125,15248,tier_enumeration,0.0,-2.1416600026822235e-14,False,132.70878381633193,132.70878381633196,1059,1059,0,6870.265488500008,,time_limit,False,"[0.0,0.0,0.25,0.5,1.0,1.0,1.0]"
synthetic_L7_seed29,29,7,2,256,78125,15240,adaptive_monotone_bb,0.1,-4.0293519528306366e-14,True,70.53667627727987,70.5366762772799,1,1,1,11.200008100131527,,epsilon_gap_closed,,
synthetic_L7_seed29,29,7,2,256,78125,15240,tier_enumeration,0.0,-8.692143185090048e-14,False,81.7454016379896,81.74540163798967,778,778,0,4319.259971400024,,time_limit,False,"[0.0,0.0,0.0,1.0,1.0,1.0,1.0]"
synthetic_L7_seed43,43,7,2,256,78125,15445,adaptive_monotone_bb,0.1,-8.271035516550024e-14,True,60.13514438873247,60.13514438873252,1,1,1,6.169324799906462,,epsilon_gap_closed,,
synthetic_L7_seed43,43,7,2,256,78125,15445,tier_enumeration,0.0,-1.780409153243983e-14,False,79.81791538933176,79.81791538933177,768,768,0,6278.384004499996,,time_limit,False,"[0.0,0.0,0.0,1.0,1.0,1.0,1.0]"
synthetic_L8_seed17,17,8,2,512,390625,69539,adaptive_monotone_bb,0.1,4.087050780974851e-14,True,69.5408766700589,69.54087667005888,1,1,1,12.29337630001828,,epsilon_gap_closed,,
synthetic_L8_seed17,17,8,2,512,390625,69539,tier_enumeration,0.0,6.071253111609433e-14,False,93.62716035032733,93.62716035032727,570,570,0,6324.339427500032,,time_limit,False,"[0.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0]"
